Address,Price,Bed,Bath,Area,CarSpaces,Specification,Agent1Name,Agent1Number,Agent2Name,Agent2Number,PropertyId,Pictures,Url
"33 Ralton Avenue, Glen Waverley, Vic 3150","$1,650,000 - $1,700,000",3,1,729m²,2,"Surrounded by tranquil gardens and soaked in sunshine, this single level home offers a comfortable lifestyle for families with the perfect balance of indoor and outdoor space, while its 729sqm approx. allotment may entice a future extension, rebuild or redevelopment (STCA). ,Proudly placed in the Brentwood Secondary Zone (STSA), the home's wide frontage is overlooked by a wide entry porch where you're invited inside and enticed through to the lounge room displaying polished hardwood floorboards. ,Neatly presented with a LaGermania oven/gas stove and Fisher & Paykel dishwasher, the kitchen is accompanied by a dining zone where you'll find sliding doors opening into the sunroom, the perfect setting for relaxing with friends. ,During those warmer summer days, a covered alfresco deck encourages outdoor entertaining and enjoys the benefits of a bench seat with storage, while the backyard is complemented by a gazebo. ,Clustered together in the hallway, the three bedrooms are comforted by carpet and serviced by a family bathroom, separate toilet and laundry. Other features include split system heating/air conditioning, high ceilings, storage shed plus a carport with gated access through to the backyard. ,Tucked in a quiet pocket, close to Glen Waverley South Primary, Brentwood Secondary, Caulfield Grammar, The Glen, Jells Park, bus stops, Glen Waverley Station and freeway access points. , ",Jenny Gao,04670922...,,,144041556,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/62f5d2bbbbd04aa4b8b5f32a5c3b8953d1e544bb63da6b45b8a641a1cc59fdbc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/25c8b316665bf9f413ac2f6bdf5867fa5f47feaf27f64a58889ff3a027eeeeb4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/25c8b316665bf9f413ac2f6bdf5867fa5f47feaf27f64a58889ff3a027eeeeb4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1e452c46344f5c34cc93abf03c9c6c7846436866eb7bcc1d34c4c293a2425ca6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b4a8bab7b758efc3afba307b3f1334a8755b9f8707fb97c3493f685d45bf2777/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144041556
"2  Crosby Drive, Glen Waverley, Vic 3150","$1,725,000 - $1,800,000",4,2,824m²,4,"Blessed with beautiful dimensions and brilliant family spaces, this elegant home is ready to offer a lifetime of enjoyment with its multiple living zones and tranquil placement abutting Scotchmans Creek Trail in the GWSC Zone (STSA)., ,Occupying an impressive 824sqm approx. allotment, the home’s neat presentation is ready for you to simply move in and enjoy with the light-filled lounge room offering a wonderful introduction before flowing through to the dining zone with outdoor access., ,The kitchen is perfectly equipped with Miele double ovens, Bosch stove and Miele dishwasher while the adjacent meals zone opens onto an entertainer’s patio and the rumpus room encourages entertaining with friends., ,Fit for the growing family, the home includes four bedrooms plus a study with the master bedroom boasting a walk-in-robe and ensuite, accompanied by a family bathroom and separate toilet., ,Additionally enjoying the benefits of a tranquil backyard, full-sized laundry, ducted heating, split system air conditioning, excellent storage plus a double garage with internal access and backyard vehicle access., ,This idyllic haven sits close to Syndal South Primary, Glen Waverley Secondary, Huntingtower School, Wesley College, Holmesglen Institute, Monash Aquatic Centre, Syndal Station, The Glen, restaurants and freeways.",Anita Meng,04100008...,Nuria Jewell,04500008...,144160272,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d78ba075c6abd08e2a5565698ea034f86173d1ecc702646971acb40ac5acc799/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1911b211d22d6733d6ca1694ee686f052003a1f05fd6d68f5a3452d6009c8b76/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1911b211d22d6733d6ca1694ee686f052003a1f05fd6d68f5a3452d6009c8b76/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/db76d0d1ca8e48456d7a09944d5fea733a27f534868d16abf56ba18032381d2a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8d7274458f35e745ea8dfcb39d5375fadd302c8f4f513589e43c0a3d3b836a05/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144160272
"9 Settler Court, Glen Waverley, Vic 3150","$1,750,000 - $1,925,000",4,2,475m²,2,"Set in a spacious prestige private court just behind the Monash Aquatic Centre and Glen Waverley Tennis Club is this lovely home nestled in tranquil gardens. On entering you are greeted by the separate lounge on your left, with a dining room or convert to study 5th bedroom to your right, leading through to the open plan kitchen meals family area with its big windows taking in the gorgeous tranquil gardens and sun light. There has been new bathrooms and kitchen installed with caesarstone benchtops, induction hotplates and double oven, giving that modern feel. Upstairs there is an open family games area, full bathroom, a massive master bedroom with sitting area for quiet contemplation or reading your favourite book, along with three more good size bedrooms. You have the comfort of gas ducted heating, evaporative cooling upstairs, and remote door on the double garage. A lovely location for walks or bike rides along Scotchmans Creek Trail and Callaghan Reserve, or for the sports enthusiast the Central Reserve Sporting Grounds, tennis clubs and aquatic centre.",Darren Hill,04187877...,,,144292012,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fe2e60368012fc72cef48b6498928400bfd0764148368876cb64ad76d932a3c6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c5a897840d77dd976c805ee782bdd83d9fd6872ca09a14bfc672ea24e9137663/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/bd1c75d2c5658bcb14ccda2d2e43056a9271715379f68388c66c4fdfb8ea836f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/632d980204efc80e9fae368af78d7d91d02cbd1d6d6c08ce0435e03e6c631d47/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9a5386596d22f85748af2f3bed59519be7f13936ded3e8098a4980ca9da6b451/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144292012
"5 Hammence Street, Glen Waverley, Vic 3150","$3,200,000 - $3,400,000",6,6,718m²,2,"Overflowing with luxury and lavished with premium style and space, this Carter Grange masterpiece sits in a class of its own and captures breathtaking mountain views in the Glen Waverley Secondary & Glen Waverley Primary zones and nestled on a large 718 m2 allotment. ,Indulging at every turn, the home's grandeur begins with a landscaped front garden and double entry bespoke steel doors that open to reveal a sumptuous foyer detailed with parquetry flooring.,Resting beneath three meter high ceilings, the kitchen, dining and family room flaunts first-class finishes and showcases a gas log fire, marble benches/splashbacks and Ilve appliances (2 x gas stoves, double ovens and dishwasher) all centered around an island breakfast bench.,The butler's pantry has been fitted as a fully functioning 2nd kitchen complete with a Fotile rangehood, while the open plan domain spills out onto an alfresco zone with outdoor meal preparation space overlooking the landscaped backyard boasting mature plants.,Adding to the indulgence, the home features a theatre room with projector and screen plus an upstairs living room that's accompanied by a balcony where you can relish those views.,Flaunting luxury, the six bedrooms all feature walk-in-robes and ensuites, with the master bedroom boasting a study/retreat, fitted walk-in-robe, balcony and designer ensuite boasting twin vanities, a freestanding tub, rainfall shower and floor-to-ceiling tiles.,Quality additions include a luxe powder room, laundry, zoned ducted heating/air conditioning, double glazing, high ceilings, video intercom, CCTV, alarm plus an oversized double garage with internal access and remote-control gated driveway.,Capped off by its prized placement, walking distance to Glen Waverley Primary, Glen Waverley Secondary, Wesley College, The Glen shopping centre, Glen Waverley station and the Kingsway restaurant hub. ",Emma Ren,04268916...,Andrew Dimashki,04014577...,144685796,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/623f68d90cf8908ac12337961610f553e46ce7e327aa08e9993ff729a5706a3c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c3689cd7c5e214b16b4bbb4f6abe73b3da2a9ea23226763b2d71e0245f856a46/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c3689cd7c5e214b16b4bbb4f6abe73b3da2a9ea23226763b2d71e0245f856a46/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/af6d7b230a4fa0faf4ee03ee57ef874ba0597016146e506666dceff664ddea60/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2120eccf71b48a8716f7dbd50952f03cdda4b6e5414490eb435610854dc09011/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144685796
"37 Larkspur Circuit, Glen Waverley, Vic 3150","$1,100,000 - $1,200,000",3,2,,2,"Advantaged by its tranquil placement in the Larkspur Estate, this low-maintenance home presents families with a sanctuary of calm that captures the beautiful design details of defined spaces and soaring ceilings in the Brentwood Secondary Catchment (STSA). Crafted with care and set towards the rear of the estate, the home's generous dimensions ensure your every desire is catered for and includes a glorious lounge room boasting cathedral ceilings and plantation shutters. A spacious study area is bound to impress those working from home, while the open plan kitchen and dining zone features stone benches and quality Bosch appliances including a gas stove, oven and dishwasher. Stepping out through sliding doors, the rear yard presents a carefree entertaining space and lawn area that's ideally sized for children's outdoor activities. A powder room and laundry complement the ground floor, while the upper level presents a carpeted retreat and three robed bedrooms including a master bedroom with walk-in-robe and spa ensuite, further served by a family bathroom and separate toilet. Enriched with ducted heating, evaporative cooling, split system air conditioning in every room, plantation shutters, LED downlights, under stair storage, garden shed plus a double garage with additional storage spaces and internal access. Centrally situated for easy access to Glen Waverley South Primary, Brentwood Secondary, The Glen, Brandon Park Shopping Centre, Central Reserve, Monash Aquatic Centre, Jells Park plus EastLink and Monash Freeway.,Photo ID required at all open for inspections.",Danny Zhang,04339062...,Tracy Tsang,04186085...,144571420,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b600cbc6b46de09901f9c88a31f84f9655aa820e8a4678f11ac4e76287ded2e2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8b372a297a35207229f3560975ed4c4b893815c6c41fc862f071a2547ab301fc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8b372a297a35207229f3560975ed4c4b893815c6c41fc862f071a2547ab301fc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/54b0b2a1600b29f522657b7c54629fd250ce0e0c0de74c3b1573780627a5064c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/69163fb9e00b9255fb21e75dacc563b40e2ee2855ab516ff1357bef30501301b/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-144571420
"336 Blackburn Road, Glen Waverley, Vic 3150","$1,700,000 - $1,870,000",4,3,,2,"**FOR MORE INFORMATION PLEASE CONTACT KERRY HUANG: **0450 989 955**,A unique opportunity awaits with this stunning double-story property, due for completion in April 2024, this brand new two townhouse development that have been thoughtfully crafted by THE SPLENDOR HOMES, perfectly positioned within a three-minute stroll to Syndal South Primary School , 6 minutes' walk to Syndal, 5 minute drive to The Glen Shopping Centre and a bus stand at the door step. Falling within the catchment of Glen Waverley Secondary College. Enjoy vibrant nightlife of Kingsway within walking distance.,Townhouse 1 enjoys a low-maintenance 26.8sq (approx.) four-bedroom, three-bathroom layout , two master bedrooms with ensuite (one zoned downstairs) with a spacious retreat area upstairs, double garage with internal access and a large open-plan living domain extending onto a north-facing alfresco outdoor area. Living with Hardwood timber flooring and a fireplace adding luxury and comfort to your living.,Townhouse 2 enjoys 26sq (approx), two family areas, with a ground floor guest bedroom featuring a walk-in robe and private ensuite, and three upper-floor bedrooms branching off from a spacious retreat, this offers versatile living. ,The facade of both townhouses showcase white painted render, brick veneer, and a grand timber double door entryway. ,The open-plan layout is illuminated by modern chandeliers and LED downlighting, Significant size of townhouse amplifying the sense of space. Natural light pours in, emphasising the luxury appointments.,The kitchen vaunts opulent style, with a four-seater breakfast island, stone benchtops and high end black Miele appliances.,Luxurious living extends to the bathrooms, all boasting full-height wall tiles, stone-top vanities, expensive and stylish tapware and fully-frameless showers. This is your chance to embrace sophistication and the opportunity to invest in the heart of Glen Waverley.,Disclaimer: We have, in preparing this document, used our best endeavours to ensure that the information contained in this document is true and accurate, but we accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence checklist provided by Consumer Affairs. Click on the link for a copy of the due diligence checklist from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist,Please note: inspection time may change or cancel without notice, please check the website before attending the inspection",Kerry Huang,04509899...,,,143044988,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/bc795bb9228c3a3ee935d1ca4ee24e4a28b61750ff4bd457caa8f3bcc7b1cb6f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/bc795bb9228c3a3ee935d1ca4ee24e4a28b61750ff4bd457caa8f3bcc7b1cb6f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/af326c2ed36e1779e056fc711f99fced1b855241c49cfbf0372897ee898ff093/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0713e03adf8cb701985b6f13e062750e516f155587771f9d3de60f29ed2758d4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7b38123d1014d2f3617dc5d60852d3ec123f947d5f3019ad67a847170fdd3131/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-143044988
"1 Stanfield Court, Glen Waverley, Vic 3150","$1,900,000 - $2,090,000",4,2,780m²,2,"Tailored for the multigenerational family or those keen to work from home or entertain with friends, this peaceful court home sits in the prized Glen Waverley Secondary Zone and offers a versatile layout that's ready to be enjoyed. ,A sweeping porch guides you to the front door, opening to reveal beautiful, polished floorboards that grace the lounge and dining room that's bathed in sunshine and steps out onto an entertainer's deck. ,Relishing its own separate space, the family room rests before an open fireplace, while the kitchen and meals zone features plenty of storage, gas stove, Whirlpool oven and Westinghouse dishwasher. Accompanying this level, you'll find a built-in study zone and three bedrooms, all enriched with polished floorboards and serviced by a bathroom with separate toilet. ,Accessed via both an internal staircase and external doors, the downstairs rumpus room/family room is perfect for in-laws, supplemented by a bathroom/laundry, separate toilet and sliding doors opening onto the paved backyard for outdoor entertaining. ,Further complemented by a home office/fourth bedroom, ducted heating, split system air conditioning, high ceilings, garden shed, three off-street parking spaces beside the driveway plus a single garage. ,Situated on an oversized 780sqm approx., only meters from Glen Waverley Primary, Glen Waverley Secondary, The Glen and buses, near Glen Waverley Train Station plus the benefits of freeway access",Andrew Dimashki,04014577...,Emma Ren,04268916...,144685788,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3edf430b13a7e662ff30285a2e8f8f235e3682c992f584fbe75c7d9891a96ede/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3a00ad6fa2499e650b28f38cdbbc915c98787b7468eee52093ef338809cec418/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3a00ad6fa2499e650b28f38cdbbc915c98787b7468eee52093ef338809cec418/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/49c8e2c22df4520a79d5af3e27183dca10c5b1619136c86488f20b3fd3eefbbb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/555dcca466f662fa11866e750b0a44ababa6e66c4709a784f045a59707fd6b7a/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144685788
"219/52-54 O'Sullivan Road, Glen Waverley, Vic 3150","$650,000 - $710,000",2,2,,1,"At the doorstep to all Glen Waverley Central has to offer and within the coveted Glen Waverley Secondary School zone (STSA). This 74 m2(approx.) 2nd floor apartment offers luxury living with spectacular views.,Superbly designed with timber floorboards highlighting the expansive open plan design that incorporates a stylish kitchen with stone benchtops quality appliances and adjoining meals area, spacious lounge with floor to ceiling windows, sliding doors to the oversized balcony, perfect for entertaining guests or just relaxing and enjoying the incredible views. ,The superb master bedroom boasts a convenient study nook, generous mirrored built-in-robes and a stunning ensuite bathroom. Complementing the apartment is a second bedroom and equally stunning main bathroom. Modern comforts include abundance of cabinetry, European laundry, ducted heating & cooling, secure building entry and covered underground carpark and storage cage. Within a short walking distance to a selection of international restaurants, high end shopping outlets and feature entertainment options with public transport, it's all there for you.,A property suiting both homeowners and investors alike. ",Jason Chow,04518868...,Scott McEwan,04266959...,142799468,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/da55e7965e64b8f88988f01f2b0547b00ab6dffabe014dfcd21bac9107728d66/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/21f7834114c53f0266ded826c629ab068928e89de6c6231bfc3bd716c1344360/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/21f7834114c53f0266ded826c629ab068928e89de6c6231bfc3bd716c1344360/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1d02cb447cabb818e7934162fc6faa290d9f3bd3ec3a06d60eecf11208ec7690/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/83a7cfa9a7b059a6d8eacdd3b42e05c2412c3a13ec815966b94ae8a089930103/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-142799468
"1 Arianne Road, Glen Waverley, Vic 3150","Viewing by appointment $1,500,000 - $1,650,000",4,3,759m²,2,"Resplendent with glamorous high ceilings, polished floorboards and a glorious sun splashed interior, only 800m (approx.) walking distance to The Glen Shopping Centre, this residence represents the pinnacle of luxurious lifestyle living in the Glen Waverley Secondary College catchment (STSA). Resting upon an easy care, corner allotment, the homes multiple living zones offer the flexibility to furnish to suit your requirements. At the heart of the home, the gourmet kitchen showcases stone benches, Blanco appliances, soft close drawers and a butler's pantry, leading through to a superb formal dining room. While the open plan family room and meals zone captures the warming northerly sunshine, extending onto a delightful entertaining deck and low-maintenance yard. A study/sitting room, guest bedroom with built-in-robes and ensuite, powder room plus laundry complete the entry level. On the upper level, a family retreat provides the ideal space for peaceful contemplation, accompanied by three robed bedrooms, master with both built-in-robe and walk-through-robe to ensuite, additionally serviced by a family bathroom with toilet. Featuring ducted heating, refrigerated air conditioning, alarm plus double garage with internal access. Walking distance to Glen Waverley Secondary College, Glen Waverley Primary, Wesley College, The Glen Shopping Centre and Glen Waverley Train Station, close to Monash and EastLink Freeways.,Photo ID required at all open for inspections.",Alan Zhang,04022000...,Li Morris,04021489...,144298560,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7ccbd37bd3b14c732f166dfb182da83e7decdd9087da21082c5daed3ccedbed2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7ccbd37bd3b14c732f166dfb182da83e7decdd9087da21082c5daed3ccedbed2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/419f19ef5a6d009aab45c1f39086f16d55586431b10c4dd4614a5fe90ebe11d0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/24125233d40ccec23d5612e6e5b0f1fbf15b4002d4da1d54f047d1c1a174417d/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b5a7a435c7065873488c8ecc5419d028a7b1b076e463ff6dd3234953ea24eb59/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144298560
"4/574-576 Highbury Road, Glen Waverley, Vic 3150","$800,000 - $880,000",3,1,,1,"Delivering defined spaces for living and dining, this delightful single level unit provides the perfect entry level opportunity for first homebuyers and investors with placement in the coveted Burwood East Primary Zone.,Nestled in a boutique group of four, the unit’s layout is easy to enjoy with stone benches highlighting the kitchen, while the private courtyard is generously sized and encourages entertaining in a low-maintenance outdoor environment.,Property Highlights:,•	Three bedrooms all featuring large windows and carpet underfoot.,•	Family bathroom accompanied by a separate toilet.,•	Generously sized lounge room that’s naturally bright yet private thanks to outdoor hedging.,•	Delightful meals zone beside the kitchen boasting stone benches, gloss white cabinetry and stainless steel appliances.,•	Good-sized courtyard that’s low-maintenance and perfect for entertaining.,•	Further complemented by a full-sized laundry.,•	Climate control includes ducted heating and split system air conditioning.,•	Incorporating the additional benefits of solar electricity panels, high ceilings, remote control garage plus a driveway parking space.,Local Attractions:,•	Step out the front and enjoy the convenience of a 736 bus stop right on your doorstep.,•	Walking distance to Burwood East Primary and close to Forest Hill College, Wesley College and Emmaus College.,•	Central to Burwood One Shopping Centre and The Glen.,•	Moments from trams that run along Burwood Hwy past PLC and Deakin Uni before arriving at the CBD.",Chris Feng,03956039...,,,144687764,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c27f13ec4dacb2c85977ea14558decee37cdbd055b8f128644cdaabb4fb65e93/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/34f9633024c7461d8b289bcf48fb086c9d310aad969549eec2358716c0cd49b2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/34f9633024c7461d8b289bcf48fb086c9d310aad969549eec2358716c0cd49b2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a4da1e6e3acfa6b85a36a57b3e3d4e2824281e03ae39ed4265cbcc8210081ea4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/960632332bd715492eb33bfc8b870b196268d3cfaccc1c2cf3d9100753db5226/image.jpg",https://www.realestate.com.au/property-unit-vic-glen+waverley-144687764
