Address,Price,Bed,Bath,Area,CarSpaces,Specification,Agent1 Name,Agent1 Number,Agent2 Name,Agent2 Number,PropertyId,image_urls,Url
"1105 52-54 O'sullivan Road, Glen Waverley, Vic 3150","$660,000 to $680,000",2,2,,1,"Ideally positioned within the prestigious Glen Waverley Secondary College catchment area (subject to school zone availability), this stylish apartment offers unparalleled convenience. Walking distance to The Glen Shopping Centre, various eateries along Kingsway, Village cinema, and Glen Waverley Train Station.,This stylish apartment embodies modern living with utmost convenience, offering seamless access to education, shopping, and transportation, thereby presenting an unparalleled lifestyle opportunity.,Features:,- An open-plan living/dining area provides a spacious and inviting ambiance.,- 2 bedrooms and 2 bathrooms. Master with ensuite and main bathroom with rainfall effect shower, floor-to-ceiling tiles and toilet. ,- Modern kitchen with stone benches, Ilve stove, Ilve oven, Fisher & Paykel dishwasher, and ample cupboard space.,- Heating and cooling systems for year-round comfort.,- Balcony with views. ,- 1 car space in the secure underground parking and a storage cage.,Experience the epitome of contemporary living in this modern apartment.,Call Conan to arrange a private inspection at 0433 900 003.,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist.",Conan Ong,0433900003,Dr Fonny Sujanto,0434818088,144263356,<generator object RealestateSpider.get_pictures at 0x000001B6B93A9AD0>,https://www.realestate.com.au/property-apartment-vic-glen+waverley-144263356
"104 Springvale Road, Glen Waverley, Vic 3150","Offers Invited $950,000 - $1M",3,1,359m²,2,"Presenting first homebuyers and investors with an increasingly rare opportunity to get a foothold in the property market, this home enjoys a stylish carefree design only a short walk from The Glen Shopping Centre. ,Accessed via the service road with a secure portico entry, the home's flowing design takes you through to a light-filled lounge and dining room that's been updated with modern flooring for a fashionable feel. ,The adjacent kitchen is neatly presented and boasts a Blanco stove, Blanco oven, stainless steel dishwasher, glass splashbacks and double sinks, while sliding doors entice you out onto the entertaining zone with Dandenong Ranges views. ,Whether you're just starting out or accommodating a family, you'll appreciate the inclusion of three bedrooms, accompanied by a family bathroom, separate toilet and laundry. ,Well-appointed with ducted heating, air conditioning, alarm, fresh paintwork, garden shed, single garage plus driveway parking. ,Zoned to Highvale Secondary College (STSA), walking distance to Highvale Primary, The Glen Shopping Centre, buses, Glen Waverley Station and reserves with central access to Monash Freeway, EastLink and the Eastern Freeway. ,Photo ID required at all open for inspections.",Steven Zhang,0450365000,Jourdain Creigh,0430012267,144510436,<generator object RealestateSpider.get_pictures at 0x000001B6B93A9580>,https://www.realestate.com.au/property-house-vic-glen+waverley-144510436
"23 Diamond Avenue, Glen Waverley, Vic 3150","$1,580,000 - $1,650,000",4,2,663m²,2,"Open for inspection at 10:00am - 10:30am This Sunday 14 April,* Within Glen Waverley Primary School & Highvale Secondary College Catchment Zone (STSA),* Frontage: appx.18 metre wide x 37metre depth,Set on a regular block of approx. 663m2 in central Glen Waverley & perfectly positioned within walking distance to Glen Waverley Primary School & Highvale Secondary College and The New Glen Shopping Centre just up the road, this well kept family home was renovated with a family focused floorplan & quality family lifestyle in mind.,• Quiet family friendly location within walking distance to local primary and secondary schools including Highvale Secondary College, Glen Waverley Primary & Highvale Primary School,• Offering exceptional living spaces, with a family friendly floor plan with formal lounge room, separate dining ,• Four sizable bedrooms including 3 with BIRs plus a home office or study and 2 modern bathrooms with a dual basin vanity & skylight,• Sparkling modern kitchen equipped with quality appliances, extensive Caesarstone benchtops & abundant storage space;,• A covered pergola is overlooking outdoor gardens, double lock up garage, garden shed + wide driveway offering more parking space;,• Gas ducted heating throughout, polished Tassie Oak hardwood floorboards plus split-system air conditioning; ,• Update the original home or re-develop a brand new luxury home with breath-taking views of The Dandenong Ranges, the option is in your hands (STSA),• Super conveniently located within close proximity to all desired amenities and services,Conveniently located in a highly sought-after neighbourhood, within the Highvale Secondary College catchment and walking distance to Glen Waverley Primary school and near a short stroll to The Glen Shopping Centre and Kingsway Dining Strip, Bushy Park Wetlands, Jells Park, reserves and public transport easy access to Glen Waverley train station & EastLink motorway, this family home is sure to be impressive.,Contact Jerry Zhu 0401 753 099 for more information.,PHOTO ID REQUIRED AT ALL OPEN FOR INSPECTIONS,INSPECTION TIMES are subject to change without notice,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospect purchasers should make their own enquiries to verify the information contained in this document and refer to the due diligence check-list provided by consumer affairs. Click on the link for a copy of the due diligence check-list: http://www.consumer.vic.gov.au/duediligencechecklist",Jerry Zhu,0401753099,Francis Leung,0398875111,144378892,<generator object RealestateSpider.get_pictures at 0x000001B6B7D26DF0>,https://www.realestate.com.au/property-house-vic-glen+waverley-144378892
"Type B6/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,565,000",4,3,207m²,2,"•	A lovely east/west orientated double storey townhome with north facing windows,•	Well defined layout with individual dining and living space that opens to a balcony ,•	A multi-purpose room on the ground floor provides flexibility to be used as a study or home office.,•	A powder room and laundry are positioned on the ground floor,•	Double garage,•	Generous storage throughout including a storage shed in the back courtyard. ,•	Suitable for those looking to upsize or for maturing families that require additional space,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $1.26M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au",Sherroy Ong,0423426018,Shin Fu,03,140791835,<generator object RealestateSpider.get_pictures at 0x000001B6B93A8260>,https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791835
"13 Torwood Avenue, Glen Waverley, Vic 3150","$1,635,000",4,2,629m²,2,"A peaceful single level sanctuary on a quiet avenue, this thoughtfully designed four bedroom, two bathroom home delivers a perfect combination of light-filled spaces, ripe for the growing family.,Featuring a swimming pool and a rear gate out to a parkland trail to the Napier Park playground, there are three distinct living zones that everyone will enjoy. The spacious lounge/dining room flows to the elegant kitchen with stainless steel appliances, the meals/family room an under-cover alfresco. Crowned with vaulted ceilings, the rear rumpus room extends out to a sunny pool-side deck.,Zoned for Mount View Primary School and Highvale Secondary College, walk to the bus stop for a quick trip to The Glen Shopping Centre, train station, Wesley College and Monash University.,- Fabulous four bedroom, two bathroom single level home,- Three spacious living zones,- A swimming pool,- Under-cover and open alfresco areas,- Master bedroom with ensuite,- Rear gate to a parkland trail,- Double garage,- Ducted heating and split system air-conditioning,- Walk to the primary school,- Catch the bus to The Glen, the train and Wesley College,---------------------------------------------------------------------------,Live Streaming via GAVL,McGrath clients have the opportunity to watch, bid and buy on live property auctions.,Register through www.gavl.com and follow the property link:,https://x5u9a.app.goo.gl/Dvgs,To be able to bid online, you must download the free GAVL App. ",Wilson Shi,0420481226,Ripple Wu,0433903099,144240472,<generator object RealestateSpider.get_pictures at 0x000001B6B93A8370>,https://www.realestate.com.au/property-house-vic-glen+waverley-144240472
"26 Silverwood Way, Glen Waverley, Vic 3150","$1,200,000 - $1,300,000",3,2,404m²,2,"Celebrating family life with dual living zones and a sunlit design, this Silverwood Estate home embodies a wonderful indoor-outdoor aura with a beautiful garden courtyard to one side and alfresco entertaining to the other. ,Superbly designed to peer out into the entertaining zone whilst opening onto  garden fully reticulated, the formal lounge room is accompanied by a spacious dining area where mealtimes can be enjoyed with the family. ,Stylish floorboards entice you through to the generous kitchen boasting a Blanco gas stove, Kleenmaid oven, Fisher & Paykel dishwasher plus an adjacent family room that's embraced by windows. ,Achieving the perfect fusion between inside and out, sliding doors open onto a northerly oriented alfresco entertaining zone that's paved for easy maintenance and perfectly sized for relaxed afternoons with friends. ,Adding to the home's family friendly credentials, you'll find three robed bedrooms complete with a master bedroom boasting mirrored built-in-robes with dressing area and ensuite, accompanied by a family bathroom, separate toilet and laundry. ,Comfort is comprehensive with the inclusions of ducted heating, evaporative cooling, split system air conditioning, ducted vacuum, alarm, high ceilings, garden shed plus a automated double garage doors with internal access. ,Zoned to the much-admired Mount View Primary and Highvale Secondary College (STSA), near Wesley College, Caulfield Grammar, The Glen Shopping Centre, buses, Glen Waverley Station, Jells Park, Dandenong Creek Trail and EastLink. ",Anita Meng,0410000898,Nuria Jewell,0450000898,144510812,<generator object RealestateSpider.get_pictures at 0x000001B6B93AA130>,https://www.realestate.com.au/property-house-vic-glen+waverley-144510812
"Type B4A/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,475,000",4,3,207m²,2,"•	Three level, three bedrooms with an additional flexi room townhome provides generous living space with large glass doors that open to an entertainer’s backyard. ,•	This townhome is one of the larger residences in the estate. ,•	Spacious master bedroom with WIR ,•	Three additional upstairs bedrooms with a large family bathroom,•	Separate laundry room,•	Double garage,•	Abundant amount of storage and cupboards throughout including a outdoor shed,•	Large, landscaped backyard with paved courtyard,•	Suited for downsizers, upsizers or maturing families.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $126M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au",Shin Fu,03,Sherroy Ong,90179250,140791955,<generator object RealestateSpider.get_pictures at 0x000001B6B93A97A0>,https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791955
"TYPE A3/583 Ferntree Gully Rd, Glen Waverley, Vic 3150","$1,395,000",3,3,226m²,2,"• Three level townhome providing a generous spacious layout for flexible living.,• A beautiful walk-in wardrobe in the second bedroom ,• A ground floor second living with a bathroom next to it provides the opportunity for multi-purpose family entertainment or the added flexibility to work from home.,• Drying courtyard off the garage,• Suitable for first home buyer, young families, downsizers or upsizers who are looking for more space and flexibility, perfect investment opportunity in the centre of Glen Waverley.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $995k.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment. Please contact our sales team to book inspection.,Display Address: 583 Ferntree Gully Road, Glen Waverley,FloretHomes.com.au",Silvia Pan,0456250228,Sherroy Ong,0423426018,143721120,<generator object RealestateSpider.get_pictures at 0x000001B6B93AA130>,https://www.realestate.com.au/property-townhouse-vic-glen+waverley-143721120
"583  Ferntree Gully Road, Glen Waverley, Vic 3150","From $1,260,000",4,3,207m²,2,,,,,,,<generator object RealestateSpider.get_pictures at 0x000001B6B93A87B0>,https://www.realestate.com.au/project/floret-glen-waverley-600036975
"31B Chapman Boulevard, Glen Waverley, Vic 3150","$2,600,000",4,3,725m²,2,"An incredible off the plan opportunity exists here with this stunning architect -designed home which will be the first of its kind in Glen Waverley! This amazing residence, which will start construction in the beginning of 2024, will enjoy 4 bedrooms, 3.5 bathrooms, study, lift access, and 2 basement car spaces!,Sure to cut a striking image from the street with a façade that dazzles, this incredible home will enjoy an array of highlights including spacious central lounge and dining, sizeable upstairs family room, basement cinema room/gym, state of the art kitchen with all the modern trimmings plus a butler's pantry, WIRs and ensuites to 2 bedrooms, downstairs powder room, dedicated study, lift access to all levels, entertainer's deck, balcony off large master bedroom, and so much more! There is also plenty of stamp duty to be saved when you buy off the plan!,Zoned for Mount View Primary School and Brentwood Secondary College (STSA), you're located very close to Caulfield Grammar School, Jells Park, Dandenong Creek Trail, The Glen Shopping Centre, Wheelers Hill Shopping Centre, Glen Waverley Public Golf Course, buses, Monash Freeway and Eastlink.",Sergey Martynov,0413955430,Jing Chen,0476277866,142514856,<generator object RealestateSpider.get_pictures at 0x000001B6B93A8E10>,https://www.realestate.com.au/property-house-vic-glen+waverley-142514856
