Address,Price,Bed,Bath,Area,CarSpaces,Specification,Agent1 Name,Agent1 Number,Agent2 Name,Agent2 Number,PropertyId,image_urls,Url
"2 Kerferd Road, Glen Waverley, Vic 3150","$1,400,000 - $1,500,000",5,2,808m²,2,"Instantly appealing for its stylishly renovated interiors, warm ambience and generous outdoor dimensions (808sqm approx), this inviting home is ready for immediate family enjoyment with plenty of space and potential to redevelop in the future if desired (STCA). Platinum presentation and timber floors welcome a light-filled living/dining domain, accompanied by a well-appointed stone kitchen and huge family room. 4 robed bedrooms are conveniently placed on both levels and serviced by 2 stunning bathrooms, while ducted heating, split system AC, under stair storage, study/5th bedroom huge backyard, double garage and off street parking add further comfort. Enjoy as is, or seize the reins and shape your future to build a luxurious new home or multiple townhouses (STCA), minutes to Brentwood Secondary College, Glen Waverley South Primary, Monash Uni, Brandon Park Shopping Centre, The Glen, public transport and Monash/EastLink Freeways.",Tori Liu,0430479889,Calvin Huang,0433625756,144579744,<generator object RealestateSpider.get_pictures at 0x0000025AC408FB40>,https://www.realestate.com.au/property-house-vic-glen+waverley-144579744
"G07/37-39 Hunter St, Glen Waverley, Vic 3150","$598,000",2,1,,1,"Welcome to 37-39 Hunter Street, situated in the illustrious suburb of Glen Waverley, recognized as one of Melbourne's affluent neighborhoods. A mere 18 kilometers southeast of Melbourne's bustling CBD and within the City of Monash, this community is a harmonious blend of comfort, convenience, and top-tier amenities including elite educational institutions, comprehensive shopping, and a lively array of dining and entertainment.,Apartment G.02, a chic and contemporary space designed for the discerning resident. This sophisticated abode offers a total area of 94.5 square meters, with a well-appointed interior of 65.0 square meters and an inviting external space of 29.5 square meters for private outdoor enjoyment.,This two-bedroom, two-bathroom apartment with a car space is crafted for those who value both style and practicality. The layout ensures seamless living with a harmonious flow between the living areas, bedrooms, and outdoor spaces. Each room is designed to maximize comfort and aesthetic appeal, promising a home that is as functional as it is visually engaging.,Positioned in an area known for its outstanding educational facilities, including Wesley College (just a walk away) and Glen Waverley Secondary College, and surrounded by shopping havens like The Glen, as well as the culinary delights of Kingsway Commercial Street, life in Apartment 1.01 promises convenience and indulgence.,With Syndal Train Station just a short walk away, the commute to Melbourne's CBD and other areas is seamless, offering an easy connection to the city's vibrant business and leisure districts. Hunter St invites you to embrace a lifestyle where luxury, choice, and accessibility are all part of the experience.",Sara Pedram,0450426872,S&K Property Group,0412599378,144771020,<generator object RealestateSpider.get_pictures at 0x0000025AC5744640>,https://www.realestate.com.au/property-apartment-vic-glen+waverley-144771020
"14 Kawana Crescent, Glen Waverley, Vic 3150","$1,580,000 - $1,680,000",4,2,704m²,2,"Commanding an incredible indoor-outdoor ambience with a brilliant visual connection between the formal and family zones and alfresco entertaining, this spacious home is a real delight in the Mount View Primary and Brentwood Secondary Zones (STSA).,Occupying a 703sqm approx. allotment, the home’s dimensions easily cater for the growing family with four robed bedrooms accompanied by a study area and complemented by an ensuite and family bathroom.,Property Highlights:,•	Four robed bedrooms, including a master bedroom with built-in-robes and ensuite,•	Central family bathroom and 2-way toilet,•	Study room conveniently set just beside the front door,•	Sunken formal lounge room boasting a bank of windows and open fireplace,•	Designated formal dining area with access to alfresco zone,•	Open plan meals and family room,•	Neatly presented kitchen adorned with Westinghouse wall oven, Westinghouse stove, Omega dishwasher, double sinks plus a breakfast bench,•	Generous alfresco entertaining zone,•	Family-sized laundry,•	Comforted by ducted heating and split system air conditioning,•	Additionally complemented by a double garage and paved driveway,Local Attractions:,•	Zoned to Mount View Primary and Brentwood Secondary College,•	Moments from Caulfield Grammar and Jells Park,•	Close to The Glen Shopping Centre, buses and Glen Waverley Station,•	Central to EastLink and Monash Freeway",Chris Feng,0395603988,,,144270336,<generator object RealestateSpider.get_pictures at 0x0000025AC408ED40>,https://www.realestate.com.au/property-house-vic-glen+waverley-144270336
"7 Ralton Avenue, Glen Waverley, Vic 3150","$3,500,000 - $3,800,000",5,4,736m²,2,"Dedicated to design excellence whilst delivering the highest level of luxury, this near new home indulges every aspect in life whilst promoting premium appointments, CBD views and prized placement in the Mount View Primary and Glen Waverley Secondary Zones (STSA). ,A celebration of quality craftsmanship, the home unfolds to reveal glamorous parquetry flooring that guides you through to a formal lounge room boasting designer lighting plus a Heat & Glo gas log fire. At the heart of the home, a double height void helps to filter light throughout, while the private theatre room comes equipped with a projector, screen and speakers and looks out towards the temperature controlled Visscool wine cellar. ,Beckoning gatherings with friends, the expansive kitchen, meals and family room is a culinary showpiece that embraces porcelain benches, Miele double ovens, Miele induction stove, integrated fridge/freezer, island breakfast bench plus a butler's kitchen boasting a Miele gas stove and Miele dishwasher. Offering a seamless transition for indoor-outdoor entertaining, glass doors with retractable flyscreens open onto an expansive entertainer's deck that's partially covered and accompanied by a synthetic turf backyard. ,Upstairs, a rumpus room provides a recreation sanctuary complete with a wet bar and accompanied by four of the five robed bedrooms including a guest bedroom with walk-in-robe and dual vanity ensuite, plus a lavish master suite with CBD views, deep balcony, dressing room and indulgent double shower ensuite. On the ground floor, the 5th bedroom benefits from a walk-in-robe and dual vanity ensuite, while the 4th bathroom rests upstairs and is supplemented by a ground floor powder room and fitted laundry with storage room and workbench. ,Finished to perfection with a 10kw solar panel system, Daikin 10 zone ducted heating/air conditioning unit, CCTV cameras, alarm, video intercom entry, keyless entry, double glazed windows, quality curtains and light switches plus a double garage with internal access and driveway gates. ,A masterpiece in every sense of the word, close to Mount View Primary, Glen Waverley Secondary, Caulfield Grammar, The Glen Shopping Centre, buses, Glen Waverley Station, Jells Park and freeways. ",Julie Wells,0408885718,Alice He,0434415868,144564724,<generator object RealestateSpider.get_pictures at 0x0000025AC408FA40>,https://www.realestate.com.au/property-house-vic-glen+waverley-144564724
"20A Johnson Drive, Glen Waverley, Vic 3150","$1,200,000 - $1,320,000",4,3,457m²,1,"At 29 squares (270 square metres approx.), this oversized town house offers the kind of space you'd expect in a home in the school zone for Brentwood Secondary (STSA), just a 5min drive to The Glen.,With 4 bedrooms, 3 bathrooms, a home office and its own street frontage and driveway, this is a family sized setting that still shines like new – having been built in 2019 but not occupied until 2021.,Above average in every way, this home features high ceilings on both levels, the convenience of a guest bedroom and adjoining bathroom on the ground floor and a back yard big enough for playing sport or fetch with the dog.,A bright and airy open plan kitchen and family room gives you room to entertain in style with an elite kitchen and walk-in pantry at your service.,Parents will appreciate a master bedroom with lovely north facing light and street frontage, in addition to a luxury bathroom with a freestanding bath and monsoon fixed shower head for rainfall style relaxation. ,Full height 3D white tiling brings dramatic edge to the bathrooms, with central heating, evaporative cooling, CCTV security and alarm, NBN connection and an oversized single garage with internal access adding to the impressive feature list.,Monash Fwy and Eastlink provide connections to the city and the coast, nearby Monash University, Monash Medical Centre and the new Victorian Heart Hospital, as well as popular parks, playgrounds and picnic spots including Central Reserve and Jells Park. ",Anna Du,0439417961,Jackie Chen,0433722913,144768456,<generator object RealestateSpider.get_pictures at 0x0000025AC408EB40>,https://www.realestate.com.au/property-townhouse-vic-glen+waverley-144768456
"101/37-39 Hunter St, Glen Waverley, Vic 3150","$835,000",3,2,,2,"Welcome to 37-39 Hunter Street, situated in the illustrious suburb of Glen Waverley, recognized as one of Melbourne's affluent neighborhoods. A mere 18 kilometers southeast of Melbourne's bustling CBD and within the City of Monash, this community is a harmonious blend of comfort, convenience, and top-tier amenities including elite educational institutions, comprehensive shopping, and a lively array of dining and entertainment.,Apartment 1.01 at 37-39 Hunter Street, Glen Waverley – a testament to luxurious and adaptable living in a premier Melbourne suburb. This three-bedroom, two-bathroom sanctuary, complete with two car spaces, encompasses a total area of 90.6 square meters, designed for comfort and elegance.,Inside, you'll find a spacious 81.9 square meters of internal living space paired with an 8.7 square meters external area. Reflecting modern living needs, Apartment 1.01 offers a choice between two color schemes, allowing residents to personalize their space to their taste, ensuring that each home is not just stylish but also a true reflection of its owner.,The Glen and Kingsway Commercial Street cater to all your retail and culinary desires, while educational excellence is just a walk away at Wesley College, not to mention Glen Waverley Secondary College and prominent universities like Monash and Deakin within close reach.,Connectivity is seamless, with Syndal Train Station on your doorstep and a network of bus routes, linking you effortlessly to the CBD and surrounding precincts. It is not just a residence but a confluence of elegance, sustainability, and unparalleled accessibility, with Wesley College within walking distance, representing the ultimate lifestyle for the discerning homeowner.",Ivy Lyu,0435698056,S&K Property Group,0412599378,144770728,<generator object RealestateSpider.get_pictures at 0x0000025AC408FC40>,https://www.realestate.com.au/property-apartment-vic-glen+waverley-144770728
"2/56 Camelot Drive, Glen Waverley, Vic 3150","$1,500,000 - $1,650,000",4,4,,2,"This superb near NEW masterpiece luxury, an impeccably family home is in the renowned Highvale Secondary College catchment that is within moments to the educational amenities including Caulfield Grammar, Wesley College, Camelot Rise and Glen Waverley Primary, a short drive to the Monash, Deakin Universities and Presbyterian Ladies College (PLC).,Featuring 4 bedrooms, 4 bathrooms, 5 toilets, study nook, powder room, lounge and dining. Downstairs, the master bedroom with WIR and full ensuite plus the other 3 bedrooms upstairs all with BIR, full ensuite and ALL with Bidet toilets,,Timber floors flow through the entrance hall and inviting open plan living and dining with a gourmet kitchen and a nearby butler’s kitchen (second kitchen) both boasting stone benches, dish washer and European stainless-steel appliances. Glass sliders open the living spaces to an alfresco and low maintenance garden. Impeccably appointed with alarm, video intercom, heating/cooling, laundry, water tank, garden shed and double remote garage with air conditioning.,Perfectly placed to offer a lifestyle of convenience, close to The Glen shops, Kingsway restaurants, Village cinema, train station, Novotel and Ibis hotels, short drive to Jells Park, the Glen Waverley Golf club, Easy access to the Eastlink, M1 Monash Freeway taking you into the CBD.,This fabulous family home invites opportunity for downsizers, investors and first home buyers in a coveted family friendly location. This opportunity is not to be missed, given the fast growth and progressive changes in Glen Waverley over the past decade, a new train station in Glen Waverley connecting the soon to be finished Suburban Rail Loop (SRL) and more exciting plans for the future.,Please call Peter To on 0411563838 for private inspection.,*Max & Max 2020 Real Estate T/A atrealty may refuse to provide further information about the property if you prefer not to disclose your Full Contact Details including Phone Number. Photo ID required when entering the property.",Peter To,0411563838,Jenny Jian,0411563838,144759452,<generator object RealestateSpider.get_pictures at 0x0000025AC408EB40>,https://www.realestate.com.au/property-townhouse-vic-glen+waverley-144759452
"9 Spear, Glen Waverley, Vic 3150","$1,450,000 - $1,595,000",4,2,651m²,2,"Completing your quest for absolute comfort, this spacious single level home presents a relaxed ambience for family life with various living zones making it perfect for the growing family in the coveted Highvale Secondary Zone. ,Nestled in a quiet court and benefitting from a northerly frontage, the home’s layout is ideal, with the formal lounge and dining room heading up the home and drawing in plenty of natural light. ,At the heart of the home, the kitchen boasts a Technika oven, Westinghouse gas stove, Bosch dishwasher plus a breakfast bench that links through to the casual meals zone with sliding doors opening onto a rumpus room with shelving. ,Offering versatility, a private family room/4th bedroom boasts built-in-robes, while the three remaining bedrooms include a master bedroom with walk-in-robe and ensuite, supplemented by a family bathroom and separate toilet. ,Furthermore, an outdoor entertaining zone leads out to the backyard and extra benefits include ducted heating, evaporative cooling, garden shed plus a double lock-up carport. ,Well suited to families and situated on a generous 651sqm approx. allotment, walking distance to Camelot Rise Primary, Highvale Secondary, Dandenong Creek Trail, Capital Ave Reserve and buses, near The Glen Shopping Centre, Glen Waverley Station and freeway access points.",Kyla Davis,0419394974,,,144770492,<generator object RealestateSpider.get_pictures at 0x0000025AC408D940>,https://www.realestate.com.au/property-house-vic-glen+waverley-144770492
"Grande Floorplan/42- Capital Avenue, Glen Waverley, Vic 3150","$300,000 - $310,000*",1,1,55m²,1,"Welcome to a new way to have a placid and serene lifestyle in the compact and comfortable Grande floorplan. Don’t miss this opportunity to live in one of our Grande apartments at Highvale.,Some of the key features of this Serviced Apartment floorplan include:,• open plan style kitchenette and living area,• generous bedroom with a built-in or walk-in robe,• private and modern bathrooms,• some apartments also have a European style laundry for your convenience,• enjoy different views, such as a balcony, a private courtyard, or a courtyard view depending on the location of the property you purchase.,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle. This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle. Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Next Steps,We welcome you to book a village tour to learn more about the floorplans on offer and the lifestyle you could lead in Keyton’s Highvale Serviced Apartments. Book a tour with us today!,*Prices correct as of November 2023. Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units, such as furniture and other decorative items.",Courtney Di Gregorio,1800550550,,,143034020,<generator object RealestateSpider.get_pictures at 0x0000025AC408ED40>,https://www.realestate.com.au/property-serviced+apartment-vic-glen+waverley-143034020
"91/42-60 Capital Avenue, Glen Waverley, Vic 3150","$530,000",1,1,66m²,1,"Delight in this beautifully presented one-bedroom unit, boasting a modern refresh with new paint and floor coverings. The open-plan layout with a separate dining area opens to a charming private garden, perfect for relaxation.,Some of the key features of this unit include;,• Freshly updated interior,• Open-plan living with distinct dining area,• Private garden for tranquil outdoor living,• Lovely wooden deck for entertaining,• Kitchen with ample storage and bench space,• Convenient separate internal laundry,• Well-appointed bathroom with walk-in shower,• Split system heating/cooling for year-round comfort,• Ideal for low-maintenance lifestyle seekers,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle.,This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle.,Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Pet-friendly village,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers, barbers, and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Don’t miss this opportunity to make this home your own. Enquire today and book a tour.,*Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units such as furniture and other decorative items.",Patrick Kelly,1800550550,,,142149768,<generator object RealestateSpider.get_pictures at 0x0000025AC408FD40>,https://www.realestate.com.au/property-retirement+living-vic-glen+waverley-142149768
