Address,Price,Bed,Bath,Area,CarSpaces,Specification,Agent1 Name,Agent1 Number,Agent2 Name,Agent2 Number,PropertyId,image_urls,Url
"2/56 Camelot Drive, Glen Waverley, Vic 3150","$1,500,000 - $1,650,000",4,4,,2,"This superb near NEW masterpiece luxury, an impeccably family home is in the renowned Highvale Secondary College catchment that is within moments to the educational amenities including Caulfield Grammar, Wesley College, Camelot Rise and Glen Waverley Primary, a short drive to the Monash, Deakin Universities and Presbyterian Ladies College (PLC).,Featuring 4 bedrooms, 4 bathrooms, 5 toilets, study nook, powder room, lounge and dining. Downstairs, the master bedroom with WIR and full ensuite plus the other 3 bedrooms upstairs all with BIR, full ensuite and ALL with Bidet toilets,,Timber floors flow through the entrance hall and inviting open plan living and dining with a gourmet kitchen and a nearby butler’s kitchen (second kitchen) both boasting stone benches, dish washer and European stainless-steel appliances. Glass sliders open the living spaces to an alfresco and low maintenance garden. Impeccably appointed with alarm, video intercom, heating/cooling, laundry, water tank, garden shed and double remote garage with air conditioning.,Perfectly placed to offer a lifestyle of convenience, close to The Glen shops, Kingsway restaurants, Village cinema, train station, Novotel and Ibis hotels, short drive to Jells Park, the Glen Waverley Golf club, Easy access to the Eastlink, M1 Monash Freeway taking you into the CBD.,This fabulous family home invites opportunity for downsizers, investors and first home buyers in a coveted family friendly location. This opportunity is not to be missed, given the fast growth and progressive changes in Glen Waverley over the past decade, a new train station in Glen Waverley connecting the soon to be finished Suburban Rail Loop (SRL) and more exciting plans for the future.,Please call Peter To on 0411563838 for private inspection.,*Max & Max 2020 Real Estate T/A atrealty may refuse to provide further information about the property if you prefer not to disclose your Full Contact Details including Phone Number. Photo ID required when entering the property.",Peter To,0411563838,Jenny Jian,0411563838,144759452,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/017d08843e4cb4366972eed0be78c0f1a5f8291d88944cce514d570a3ac175fb/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/c3b4933041fa3569b52e9272d5ca0be9fd7fea2adbf500469292839f94259a01/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/c3b4933041fa3569b52e9272d5ca0be9fd7fea2adbf500469292839f94259a01/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f8a7d914b04ffccef61852ad5de69016f841cef97056ad984eae787df97b43f5/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/c82811dba898c77edfcd5732e84a54977c78b562194650e3235411ba182da9ad/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-144759452
"2/1 Olinda Street, Glen Waverley, Vic 3150","$2,300,000 - $2,500,000",4,3,661m²,2,"This brand new stunning design meets immaculate family living with these off-the-plan side by side cutting-edge triple level town homes, quietly located in Glen Waverley prime location and dual school catchment area, Glen Waverley Secondary College and Mt View Primary School zones (STSA), walking distance to the Glen Shopping Centre, Glen Waverley train station, Kingsway restaurants, cafes and shops and parks, close to Wesley College and Caulfield Grammar.,Displaying a generous and light-filled ground floor living zone featuring designated spaces for the family to relax and also dine, the first floor also hosting a further exceptionally pleasing family area. The breezy state of the art stone kitchen boasts stainless steel appliances including a gas cooktop, dishwasher, modern tiled splashback, an island counter, a large walk-in pantry and gorgeous pendant lighting, all assisting home cooked meals to be planned with great ease.,The front of the ground floor residence showcases a private guest suite with a walk-in robe and superb ensuite, while the upper level enjoys an expansive and open lounge room with a balcony and three enviable robed bedrooms, among them a master with urban ensuite.,Chic and relaxing, the family bathroom will impress with its deep bath as well as its dual vanity and semi frameless shower while a separate powder room on the ground floor and laundry nearby with help make life better together.,Other highlights boast European oak parquetry flooring, lavish kitchen with stone benches, butler’s pantry and backyard. These exquisite builds also come equipped with heating and cooling, recessed lighting, double door entrance, securely fenced and gated, and the underground level is dedicated to securely garaging vehicles and a big storage.,Don’t miss this opportunity located in one of Glen Waverley's hottest spots.,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstate-ments in this document. The fixtures, fittings, appliances and services have not been tested and no guarantee as to their functionality or efficiency can be provided. Prospect purchasers should independently verify the information contained in this document.,    ",Eric Li,0415689981,,,137856918,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/b8e3f5f36cb1a12667ebee2beddea682129faa9432518e6f6f1c3a1ec813654e/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/36194da1dbafb9f8453c689ecb59429b1194c50ab2c84449c95ee3169aed7a24/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/36194da1dbafb9f8453c689ecb59429b1194c50ab2c84449c95ee3169aed7a24/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/d38c0e6fdc3c6250daded9c9e8a28c202ccbe0a0d689cf4db2066e13106599b6/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/b397da038d9cfcb94f313a3fd9d02d0ad13e4ef60b85b14af0289f2a621dc01d/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-137856918
"91/42-60 Capital Avenue, Glen Waverley, Vic 3150","$530,000",1,1,66m²,1,"Delight in this beautifully presented one-bedroom unit, boasting a modern refresh with new paint and floor coverings. The open-plan layout with a separate dining area opens to a charming private garden, perfect for relaxation.,Some of the key features of this unit include;,• Freshly updated interior,• Open-plan living with distinct dining area,• Private garden for tranquil outdoor living,• Lovely wooden deck for entertaining,• Kitchen with ample storage and bench space,• Convenient separate internal laundry,• Well-appointed bathroom with walk-in shower,• Split system heating/cooling for year-round comfort,• Ideal for low-maintenance lifestyle seekers,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle.,This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle.,Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Pet-friendly village,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers, barbers, and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Don’t miss this opportunity to make this home your own. Enquire today and book a tour.,*Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units such as furniture and other decorative items.",Patrick Kelly,1800550550,,,142149768,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f09ca54a65158c3d9450e24480caa4a7f77f85822b60d9a1a65b287cb827e2ce/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/155f60b0fac4e81e0cd0ee4a696e1019e9efb6e61727b926a718b074902ed34d/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/155f60b0fac4e81e0cd0ee4a696e1019e9efb6e61727b926a718b074902ed34d/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/155f60b0fac4e81e0cd0ee4a696e1019e9efb6e61727b926a718b074902ed34d/image.jpg",https://www.realestate.com.au/property-retirement+living-vic-glen+waverley-142149768
"Grande Floorplan/42- Capital Avenue, Glen Waverley, Vic 3150","$300,000 - $310,000*",1,1,55m²,1,"Welcome to a new way to have a placid and serene lifestyle in the compact and comfortable Grande floorplan. Don’t miss this opportunity to live in one of our Grande apartments at Highvale.,Some of the key features of this Serviced Apartment floorplan include:,• open plan style kitchenette and living area,• generous bedroom with a built-in or walk-in robe,• private and modern bathrooms,• some apartments also have a European style laundry for your convenience,• enjoy different views, such as a balcony, a private courtyard, or a courtyard view depending on the location of the property you purchase.,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle. This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle. Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Next Steps,We welcome you to book a village tour to learn more about the floorplans on offer and the lifestyle you could lead in Keyton’s Highvale Serviced Apartments. Book a tour with us today!,*Prices correct as of November 2023. Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units, such as furniture and other decorative items.",Courtney Di Gregorio,1800550550,,,143034020,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f09ca54a65158c3d9450e24480caa4a7f77f85822b60d9a1a65b287cb827e2ce/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/155f60b0fac4e81e0cd0ee4a696e1019e9efb6e61727b926a718b074902ed34d/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f09ca54a65158c3d9450e24480caa4a7f77f85822b60d9a1a65b287cb827e2ce/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f09ca54a65158c3d9450e24480caa4a7f77f85822b60d9a1a65b287cb827e2ce/image.jpg",https://www.realestate.com.au/property-serviced+apartment-vic-glen+waverley-143034020
"G07/37-39 Hunter St, Glen Waverley, Vic 3150","$598,000",2,1,,1,"Welcome to 37-39 Hunter Street, situated in the illustrious suburb of Glen Waverley, recognized as one of Melbourne's affluent neighborhoods. A mere 18 kilometers southeast of Melbourne's bustling CBD and within the City of Monash, this community is a harmonious blend of comfort, convenience, and top-tier amenities including elite educational institutions, comprehensive shopping, and a lively array of dining and entertainment.,Apartment G.02, a chic and contemporary space designed for the discerning resident. This sophisticated abode offers a total area of 94.5 square meters, with a well-appointed interior of 65.0 square meters and an inviting external space of 29.5 square meters for private outdoor enjoyment.,This two-bedroom, two-bathroom apartment with a car space is crafted for those who value both style and practicality. The layout ensures seamless living with a harmonious flow between the living areas, bedrooms, and outdoor spaces. Each room is designed to maximize comfort and aesthetic appeal, promising a home that is as functional as it is visually engaging.,Positioned in an area known for its outstanding educational facilities, including Wesley College (just a walk away) and Glen Waverley Secondary College, and surrounded by shopping havens like The Glen, as well as the culinary delights of Kingsway Commercial Street, life in Apartment 1.01 promises convenience and indulgence.,With Syndal Train Station just a short walk away, the commute to Melbourne's CBD and other areas is seamless, offering an easy connection to the city's vibrant business and leisure districts. Hunter St invites you to embrace a lifestyle where luxury, choice, and accessibility are all part of the experience.",Sara Pedram,0450426872,S&K Property Group,0412599378,144771020,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/feb5b55a1aab14a9172955666f3c05edd347544533921d810aab88e2140ed040/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f57badef069d0410d9ec69520235b1ed54d17c841206219701aa5aae3135c55e/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f57badef069d0410d9ec69520235b1ed54d17c841206219701aa5aae3135c55e/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f54100ac7d065a05e6b5af9de2cb0eec0b1bcbc72094114ee5abf2e6ad0e7617/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/e4e54a8d25c817cde7555d194a7c17023c76dca603586443d2b6818a4be4c9bb/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144771020
"7/2-4 Blair Road, Glen Waverley, Vic 3150","$570,000-$610,000",2,1,331m²,1,"Nestled in the heart of Glen Waverley lies this surprisingly capacious apartment, perfectly positioned mere steps away from The Glen Shopping Centre, Glen Waverley Secondary College, train and bus stations, Village Cinemas, vibrant Kingsway nightlife, and much more! ,Boasting generous proportions and a contemporary interior, this deluxe property promises to captivate with its two spacious bedrooms featuring walk-in robes and access to a balcony. The sleek, modern kitchen is adorned with stone benchtops and Blanco appliances, overlooking the sunlit living and dining area that spills out onto a sprawling entertainer's balcony offering views of The Glen. ,Additional modern conveniences include a sizable bathroom with a separate toilet, laundry facilities, reverse-cycle split system air conditioning, electric heating, a secure undercover carpark space, and storage. The building itself ensures security with restricted entry door access, intercom, and remote control access to the basement carpark via a lift. ,The Owners Corporation Fee covers insurance and gas. With an array of excellent amenities at your fingertips, this property is an ideal addition to your investment portfolio or a haven for busy executives, international students, and content retirees alike!,Photo ID required at all open for inspections.,Disclaimer: We have in preparing this document used our best endeavors to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist,    ",Miles Chen,0426608066,Eddie Fu,0421339638,144642040,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/9ced91c73246fcc4a90148aab22e67e9205b3f4c817891f1dfc28cf89ee63571/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/975609c7d119cf2a511661fe108222bb7d314a1eccbd6564b0e13119e3dbe03b/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/975609c7d119cf2a511661fe108222bb7d314a1eccbd6564b0e13119e3dbe03b/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/c12cc7dcf1164ebe8cf9ad7da844effea130b41d83bbf6ba0580fd1f5fcb8e2b/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/5148b8f6f3f794737f062d84838e01f1c55d99f320d53d948b11de8d2a68dc60/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144642040
"1407/25 Osullivan Road, Glen Waverley, Vic 3150","$790,000 - $820,000",2,2,265m²,1,"Welcome to this stunning 2 bedroom, 2 bathroom apartment located at 1407/25 Osullivan Road in the sought-after suburb of Glen Waverley, in the heart of the area with in Glen Waverley Secondary College zone, and walking distance to the central shopping centre, train station, schools and amenities.,This modern apartment features a spacious living area, a sleek kitchen with quality appliances, and a balcony with stunning views. The bedrooms are well-appointed with built-in robes, and the master bedroom includes an ensuite. ,With a carport space included, this apartment offers convenience and comfort. The building itself boasts a contemporary design and is located in a prime location close to all amenities.,Key Features and Amenities:,- 2 Bedrooms: Discover two beautifully designed bedrooms, each providing relaxation and rejuvenation.,- 2 Bathrooms, 2 Toilets: Enjoy the luxury of two well-appointed bathrooms and an additional toilet, ensuring privacy and ease of living.,- Parking and Storage: This apartment includes the convenience of parking and additional storage, simplifying your daily routine.,- Approximately 4,000m2 private podium gardens reminiscing of Singapore featuring BBQ areas, bars, lounges, rest area, kitchen garden, play and picnic area, private cabanas and meditation/wellness area means affordable luxury with minimal upkeep, freeing you to enjoy life's pleasures.,- resort-style swimming pool with sauna, two-level gym and open plan yoga area, library, private dining with kitchen and terrace BBQ facilities, private lounge, Mahjong rooms and private theatre enriching your daily life.,- Enhanced security and Front Desk Concierges ensure peace of mind, potentially reducing insurance costs.,- Private Social & Recreational Committee activities such as New Year/Halloween Celebrations,Photo ID required for all inspections.",Jichen Quan,0404616929,Andy Zhang,0449271993,144642660,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/7a500b6e47b8677c0a5226337581a51d49d09c30b685b52751db79cfe3f04600/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/02c5b16792789658da2394fc33f5b4e6eaff234c80f9608ef1b5596b0e4d57f4/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/02c5b16792789658da2394fc33f5b4e6eaff234c80f9608ef1b5596b0e4d57f4/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/ca1792ff584a3e4cba3b5b6d7ca2cde8c67f09cf6b0172de04701e70af6e87c9/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/a0f97c6de7bc0b648b855220d592c6d76c0dcc6599b097d481d34083cad95f94/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144642660
"Cove Floorplan/42-60 Capital Avenue, Glen Waverley, Vic 3150","$90,000 - $115,000*",1,1,28m²,1,"Feel at home in this welcoming and peaceful serviced apartment apartment floorplan with everything you need for a comfortable and stress-free living. Don’t miss this opportunity to live in one of our Cove apartments at Highvale.,Some of the key features of this Serviced Apartment floorplan include:,• a kitchenette,• a living/bedroom space with built-in closets, and a private bathroom,• enjoy different views, such as a balcony, a private courtyard, or a courtyard view depending on the location of the property you purchase.,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle. This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle. Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,--Next Steps--,We welcome you to book a village tour to learn more about the floorplans on offer and the lifestyle you could lead in Keyton’s Highvale Serviced Apartments. Book a tour with us today!,*Prices correct as of November 2023. *Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units, such as furniture and other decorative items.",Courtney Di Gregorio,1800550550,,,143854160,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/f09ca54a65158c3d9450e24480caa4a7f77f85822b60d9a1a65b287cb827e2ce/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/155f60b0fac4e81e0cd0ee4a696e1019e9efb6e61727b926a718b074902ed34d/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/d00e7b4b92a4bd6d205440fd44c7aee997dd78c161553672b2139cc511372d96/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/d00e7b4b92a4bd6d205440fd44c7aee997dd78c161553672b2139cc511372d96/image.jpg",https://www.realestate.com.au/property-serviced+apartment-vic-glen+waverley-143854160
"42-60 Capital Avenue, Glen Waverley, Vic 3150",,1,1,28m²,1,,,,,,,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/4789b94d0f1f390e3ccb9e81baa802e97ea45ff3715d5303d546c3f8ad1b9f56/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/89b21592ba688b01e226defe3f3ff38209c1fb83d7a3f7e2c6fd23d6dc88d4a9/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/c83dc651381413164e962c1f25a8e69b2043e8ecb946ed89dde9afee1a8ac47b/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/e98d1d11f46603b7001a2fe2b1d3ae3a0b4baaec7326c0fdebd8116fdd7b77ae/image.jpg",https://www.realestate.com.au/project/highvale-glen-waverley-600037524
"3 Diosma Drive, Glen Waverley, Vic 3150","$1,200,000 - $1,320,000",4,2,650m²,2,"Capturing the essence of classic family living with an abundance of natural light, this fabulous home, with a north facing backyard is situated in a prized location within the sought after Brentwood Secondary School Catchment Zone (STSA). ,Polished timber floors invite you into a large formal lounge, the gas fireplace the focal point of the room. The well-appointed modern kitchen boasts quality appliances with a gas cook top, electric oven, microwave, dishwasher and plenty of bench space for any home chef. ,The second living room at the rear of the home leads outside to tranquil backyard offering magnificent botanic views, with a flowing water fountain and fishpond providing a calming space to relax. Additional outdoor areas include the enclosed, covered outdoor deck showcasing a billiard table as one of its many uses. ,Boasting generously sized bedrooms, the master offers a stylish full en-suite bathroom, while the remaining bedrooms are serviced by equally stunning main bathroom and a third separate toilet. ,Modern comforts include ducted heating, evaporative cooling, ceiling fans, solar panels, roller shutters, ample off street parking and lockup double garage. ,Within walking distance to Brentwood Secondary school, Glen Waverley South Primary school and public transport, while only a short distance to Glen Waverley train station, local parks, M1 Monash Freeway, Brandon Park Shopping Centre, Kingsway restaurant strip and The Glen.",Tony Ievoli,0422869795,Freeman Li 李,0421780286,144644528,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/5b92c4ad7be98f9c8c5cbd284c86d092883cb8c242903f83e6290646b7871075/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/3f029118a41a4f386f162a29f8bf782fbbee575900c420c6ea3905dc16b8fa17/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/3f029118a41a4f386f162a29f8bf782fbbee575900c420c6ea3905dc16b8fa17/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/1a91c53b17b5a021122d150ae9702ff6346514f3082cf31ec513391aa3603461/image.jpg,https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/1035f4d8e73fc441cbd8227e1fb515635647ba266aa4dec96de4c91686f6456e/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144644528
