URL,Full Address,Type,Images,Beds,Baths,Sq Ft,Price,Latitude,Longitude,City,Street,State,Zip Code,Year Built,Style,Lot,Agent Name,Agent Phone,Agent Email,Broker Name,MLS,Tax,Availability Date
https://www.zillow.com/b/280-e-lorene-st-rexburg-id-BwDFS3/,280 E Lorene St Rexburg ID 83440,townhome,"['https://photos.zillowstatic.com/fp/ffdc55a2cf4875221b3e658ebad8f002-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ffdc55a2cf4875221b3e658ebad8f002-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ffdc55a2cf4875221b3e658ebad8f002-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ffdc55a2cf4875221b3e658ebad8f002-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ffdc55a2cf4875221b3e658ebad8f002-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ffdc55a2cf4875221b3e658ebad8f002-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ffdc55a2cf4875221b3e658ebad8f002-cc_ft_1536.jpg']",2,1,,1050,43.838203188097,-111.77402244786,Rexburg,280 E Lorene St,ID,83440,,,,,,,,,,
https://www.zillow.com/b/952-anne-st-rexburg-id-5Xr5yR/,952 Anne St Rexburg ID 83440,apartment,"['https://photos.zillowstatic.com/fp/c2799aab44a3392fd5ead3d22c828491-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/c2799aab44a3392fd5ead3d22c828491-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/c2799aab44a3392fd5ead3d22c828491-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/c2799aab44a3392fd5ead3d22c828491-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/c2799aab44a3392fd5ead3d22c828491-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/c2799aab44a3392fd5ead3d22c828491-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/c2799aab44a3392fd5ead3d22c828491-cc_ft_1536.jpg']",2,1,,850,43.818059,-111.810129,Rexburg,952 Anne St,ID,83440,,,,,,,,,,
https://www.zillow.com/apartments/rexburg-id/cougar-court-apartments/5Zk4h4/,697 Trejo St Rexburg ID 83440,apartment,"['https://photos.zillowstatic.com/fp/29887517f0ee21f09078316359c147f0-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/29887517f0ee21f09078316359c147f0-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/29887517f0ee21f09078316359c147f0-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/29887517f0ee21f09078316359c147f0-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/29887517f0ee21f09078316359c147f0-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/29887517f0ee21f09078316359c147f0-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/29887517f0ee21f09078316359c147f0-cc_ft_1536.jpg']",,,,,43.815827,-111.80408,Rexburg,697 Trejo St,ID,83440,,,,,,,,,,
https://www.zillow.com/apartments/rexburg-id/stone-brook-apartments/5gtLfy/,600 Pioneer Rd Rexburg ID 83440,apartment,"['https://photos.zillowstatic.com/fp/c60f193c4023c89ad38bfb4ef5810cfd-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/c60f193c4023c89ad38bfb4ef5810cfd-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/c60f193c4023c89ad38bfb4ef5810cfd-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/c60f193c4023c89ad38bfb4ef5810cfd-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/c60f193c4023c89ad38bfb4ef5810cfd-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/c60f193c4023c89ad38bfb4ef5810cfd-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/c60f193c4023c89ad38bfb4ef5810cfd-cc_ft_1536.jpg']",,,,,43.813102,-111.806041,Rexburg,600 Pioneer Rd,ID,83440,,,,,,,,,,
https://www.zillow.com/homedetails/535-Mariah-Ave-0D8BF9838-Rexburg-ID-83440/348894997_zpid/,535 Mariah Ave #0D8BF9838 Rexburg ID 83440,APARTMENT,"['https://photos.zillowstatic.com/fp/d4a4ffafd5346b576d7bfa1927b75b83-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/d4a4ffafd5346b576d7bfa1927b75b83-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/d4a4ffafd5346b576d7bfa1927b75b83-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/d4a4ffafd5346b576d7bfa1927b75b83-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/d4a4ffafd5346b576d7bfa1927b75b83-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/d4a4ffafd5346b576d7bfa1927b75b83-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/d4a4ffafd5346b576d7bfa1927b75b83-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/d4a4ffafd5346b576d7bfa1927b75b83-cc_ft_1536.jpg']",2,1,852,1000,43.814938,-111.8047,Rexburg,535 Mariah Ave #0D8BF9838,ID,83440,,Apartment,,Axiom Properties,3603299765,,,,,
https://www.zillow.com/apartments/rexburg-id/centennial-patio-home-apartments/Bj2cBJ/,290 Hope St Rexburg ID 83440,apartment,"['https://photos.zillowstatic.com/fp/12b8b1d76d0da522b8e6e89396df854b-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/12b8b1d76d0da522b8e6e89396df854b-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/12b8b1d76d0da522b8e6e89396df854b-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/12b8b1d76d0da522b8e6e89396df854b-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/12b8b1d76d0da522b8e6e89396df854b-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/12b8b1d76d0da522b8e6e89396df854b-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/12b8b1d76d0da522b8e6e89396df854b-cc_ft_1536.jpg']",,,,,43.840477,-111.771329,Rexburg,290 Hope St,ID,83440,,,,,,,,,,
https://www.zillow.com/b/mcdougal-237-rexburg-id-5j6ZbW/,237 E 2 N Rexburg ID 83440,apartment,"['https://photos.zillowstatic.com/fp/eb71e64f406d93b648bd3afe45662dd0-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/eb71e64f406d93b648bd3afe45662dd0-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/eb71e64f406d93b648bd3afe45662dd0-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/eb71e64f406d93b648bd3afe45662dd0-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/eb71e64f406d93b648bd3afe45662dd0-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/eb71e64f406d93b648bd3afe45662dd0-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/eb71e64f406d93b648bd3afe45662dd0-cc_ft_1536.jpg']",1,1,,725,43.830621,-111.776737,Rexburg,237 E 2 N,ID,83440,,,,,,,,,,
https://www.zillow.com/b/264-n-3-e-rexburg-id-5XqzRy/,264 N 3 E Rexburg ID 83440,townhome,"['https://photos.zillowstatic.com/fp/08ec5b443c520fe7e4cd9eaa81b6481f-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/08ec5b443c520fe7e4cd9eaa81b6481f-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/08ec5b443c520fe7e4cd9eaa81b6481f-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/08ec5b443c520fe7e4cd9eaa81b6481f-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/08ec5b443c520fe7e4cd9eaa81b6481f-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/08ec5b443c520fe7e4cd9eaa81b6481f-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/08ec5b443c520fe7e4cd9eaa81b6481f-cc_ft_1536.jpg']",2,1,,950,43.831763,-111.773893,Rexburg,264 N 3 E,ID,83440,,,,,,,,,,
"https://www.zillow.com/b/2-bed,-1.0-bath,-%24925-rexburg-id-5XrQsg/",944 Anne St Rexburg ID 83440,apartment,"['https://photos.zillowstatic.com/fp/493cf59f1e869f98f05b75cea92e5343-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/493cf59f1e869f98f05b75cea92e5343-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/493cf59f1e869f98f05b75cea92e5343-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/493cf59f1e869f98f05b75cea92e5343-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/493cf59f1e869f98f05b75cea92e5343-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/493cf59f1e869f98f05b75cea92e5343-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/493cf59f1e869f98f05b75cea92e5343-cc_ft_1536.jpg']",2,1,,925,43.818059,-111.81036,Rexburg,944 Anne St,ID,83440,,,,,,,,,,
https://www.zillow.com/homedetails/547-Countryside-Ave-1-Rexburg-ID-83440/348517199_zpid/,547 Countryside Ave #1 Rexburg ID 83440,TOWNHOUSE,"['https://photos.zillowstatic.com/fp/4b5dd02e8dd6727afaa3b32eff27f2b8-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/4b5dd02e8dd6727afaa3b32eff27f2b8-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/4b5dd02e8dd6727afaa3b32eff27f2b8-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/4b5dd02e8dd6727afaa3b32eff27f2b8-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/4b5dd02e8dd6727afaa3b32eff27f2b8-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/4b5dd02e8dd6727afaa3b32eff27f2b8-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/4b5dd02e8dd6727afaa3b32eff27f2b8-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/4b5dd02e8dd6727afaa3b32eff27f2b8-cc_ft_1536.jpg']",3,1.5,1458,1590,43.8146,-111.81253,Rexburg,547 Countryside Ave #1,ID,83440,,Townhouse,,Gwendolyn,2087595144,,,,,Available Now
